UserID,Age,Gender,SubscriptionType,WatchHoursPerWeek,DevicesUsed,FavoriteGenre,AdClicks,MonthlySpend,SubscriptionRenewed
1083,25,Male,Basic,17,2,Action,24,320,Yes
1084,57,Male,Premium,14,4,Drama,4,665,No
1085,48,Female,Premium,26,2,Horror,42,781,Yes
1086,51,Female,Premium,13,3,Horror,33,701,No
1087,22,Female,Premium,1,2,Horror,1,739,No
1088,32,Male,VIP,9,3,Horror,39,1380,No
1089,54,Male,Basic,19,5,Action,30,340,No
1090,57,Female,Premium,18,3,Drama,31,773,No
1091,38,Male,Basic,2,1,Sci-Fi,44,199,No
1092,56,Female,Premium,9,2,Horror,25,714,Yes
1093,58,Female,Premium,10,4,Sci-Fi,23,773,No
1094,36,Male,Basic,12,3,Romance,31,408,Yes
1095,61,Male,Basic,4,3,Comedy,10,276,Yes
1096,31,Male,VIP,10,3,Action,7,1412,No
1097,29,Male,Basic,9,2,Action,43,253,No
1098,50,Male,Premium,21,3,Sci-Fi,10,729,Yes
1099,48,Female,Basic,21,4,Sci-Fi,25,447,Yes
1100,24,Female,VIP,14,5,Comedy,13,1469,Yes
1101,57,Female,Basic,12,4,Horror,11,389,No
1102,27,Female,Basic,16,5,Horror,30,377,Yes
1103,56,Female,VIP,8,5,Drama,40,1207,Yes
1104,18,Male,VIP,6,1,Comedy,22,1208,No
1105,56,Male,Basic,7,2,Horror,7,342,No
1106,55,Female,Premium,10,2,Horror,12,728,Yes
1107,55,Male,Premium,6,1,Comedy,8,663,No
1108,49,Male,VIP,16,1,Comedy,45,1383,No
1109,40,Female,Basic,21,4,Drama,16,411,Yes
1110,51,Female,Premium,2,2,Sci-Fi,19,766,No
1111,31,Female,Premium,15,1,Action,3,782,No
1112,55,Female,Premium,13,2,Romance,22,838,No
1113,44,Male,Premium,18,2,Drama,46,789,No
1114,40,Female,Premium,15,1,Drama,20,767,No
1115,42,Female,Basic,3,1,Action,33,378,No
1116,45,Female,VIP,5,4,Romance,9,1265,No
1117,19,Female,VIP,15,5,Comedy,7,1499,No
1118,24,Female,Premium,23,3,Romance,37,837,Yes
1119,29,Male,Basic,1,4,Drama,3,327,No
1120,23,Male,Basic,18,5,Romance,22,421,No
1121,39,Male,Premium,25,5,Comedy,16,937,Yes
1122,50,Male,Basic,14,1,Action,0,417,Yes
1123,49,Male,VIP,19,5,Horror,27,1298,Yes
1124,40,Male,Basic,9,1,Horror,49,428,No
1125,59,Female,Premium,14,1,Sci-Fi,3,749,Yes
1126,45,Female,VIP,2,3,Action,41,1315,No
1127,21,Female,Basic,1,4,Romance,27,227,Yes
1128,54,Female,Basic,23,1,Drama,36,446,Yes
1129,45,Female,Premium,7,2,Romance,4,695,No
1130,48,Female,Premium,11,2,Romance,44,760,Yes
1131,45,Male,Basic,4,2,Romance,0,302,No
1132,44,Female,Premium,4,5,Horror,46,835,Yes
1133,22,Male,VIP,14,2,Horror,33,1488,No
1134,44,Male,Premium,9,2,Sci-Fi,17,747,Yes
1135,56,Female,Basic,18,1,Action,0,393,No
1136,32,Female,Basic,19,1,Drama,31,372,No
1137,46,Male,Basic,18,1,Horror,4,455,Yes
1138,19,Male,Basic,17,3,Horror,31,364,Yes
1139,34,Male,Basic,28,3,Sci-Fi,39,414,Yes
1140,38,Male,Premium,6,3,Horror,13,788,No
1141,65,Male,Basic,15,5,Action,12,342,No
1142,28,Female,VIP,24,3,Drama,11,1417,Yes
1143,31,Female,Basic,25,1,Sci-Fi,11,329,Yes
1144,37,Female,Basic,4,2,Romance,5,361,No
1145,65,Female,Premium,13,2,Comedy,12,880,No
1146,58,Female,VIP,26,5,Comedy,33,1472,No
1147,19,Female,Basic,19,2,Drama,15,482,Yes
1148,29,Male,Basic,17,1,Comedy,39,333,No
1149,57,Male,Basic,13,4,Sci-Fi,41,378,No
1150,20,Female,Premium,12,3,Sci-Fi,38,702,Yes
1151,59,Male,Premium,17,1,Horror,27,770,Yes
1152,31,Male,Basic,13,4,Romance,16,410,Yes
1153,62,Male,Basic,15,2,Action,47,380,No
1154,32,Female,Premium,16,5,Comedy,10,694,Yes
1155,38,Male,VIP,10,5,Comedy,23,1270,No
1156,49,Female,Premium,19,2,Comedy,23,711,No
1157,24,Male,Premium,38,3,Horror,38,918,Yes
1158,44,Male,Basic,1,3,Action,27,428,No
1159,42,Male,Basic,18,4,Action,40,471,Yes
1160,55,Male,Basic,9,1,Romance,46,230,No
1161,65,Female,Premium,20,2,Romance,19,884,Yes
1162,49,Male,VIP,15,1,Comedy,44,1430,No
1163,37,Male,VIP,21,4,Comedy,8,1311,No
1164,37,Female,VIP,24,1,Sci-Fi,46,1401,No
1165,38,Female,VIP,17,3,Sci-Fi,9,1450,No
1166,57,Male,VIP,24,4,Romance,43,1452,Yes
1167,33,Female,Basic,1,5,Drama,19,225,No
1168,26,Female,Basic,28,2,Action,49,476,No
1169,34,Male,Basic,18,1,Drama,6,261,No
1170,19,Female,Premium,24,4,Sci-Fi,23,806,Yes
1171,23,Female,Basic,5,1,Sci-Fi,45,392,No
1172,22,Female,Premium,8,1,Sci-Fi,2,740,No
1173,55,Male,Premium,16,5,Romance,13,749,Yes
1174,52,Male,Premium,15,5,Horror,4,827,No
1175,51,Male,Basic,17,4,Comedy,16,442,No
1176,40,Female,Basic,24,5,Drama,19,498,No
1177,52,Female,Basic,1,1,Horror,31,356,Yes
1178,25,Male,VIP,23,1,Drama,13,1479,No
1179,61,Male,Premium,15,2,Drama,8,818,Yes
1180,42,Female,Premium,13,1,Comedy,8,780,Yes
1181,63,Female,Basic,3,5,Comedy,47,319,No
1182,25,Female,Basic,19,1,Horror,48,380,Yes
1183,41,Male,Basic,1,3,Romance,11,231,Yes
1184,51,Female,Premium,20,5,Horror,9,742,Yes
1185,41,Male,Premium,3,4,Comedy,2,697,No
1186,39,Female,Basic,15,2,Action,48,388,No
1187,25,Male,VIP,14,3,Action,36,1455,Yes
1188,36,Male,Basic,24,3,Drama,38,416,Yes
1189,29,Male,VIP,14,4,Sci-Fi,14,1429,Yes
1190,32,Female,Basic,9,3,Romance,32,409,Yes
1191,50,Female,Basic,11,2,Romance,3,340,No
1192,48,Male,Premium,25,4,Action,34,860,No
1193,47,Female,Basic,19,5,Horror,29,379,No
1194,35,Male,Basic,12,3,Comedy,16,438,No
1195,64,Male,Basic,13,1,Comedy,36,402,No
1196,22,Male,Basic,2,3,Sci-Fi,32,238,No
1197,34,Female,Premium,18,5,Action,22,799,Yes
1198,23,Male,VIP,1,5,Drama,9,1403,Yes
1199,34,Female,VIP,21,3,Sci-Fi,1,1393,Yes
1200,64,Male,Basic,16,1,Comedy,47,406,Yes
1201,35,Male,Premium,34,3,Sci-Fi,14,902,No
1202,61,Male,Basic,6,5,Drama,15,267,No
1203,41,Female,Basic,14,5,Horror,34,400,No
1204,51,Male,Basic,29,1,Comedy,13,360,Yes
1205,39,Female,VIP,25,2,Action,19,1386,Yes
1206,30,Female,VIP,9,3,Sci-Fi,36,1409,No
1207,54,Male,Premium,17,1,Comedy,30,805,Yes
1208,64,Female,Premium,15,5,Horror,33,756,No
1209,30,Female,Premium,17,1,Action,0,811,No
1210,55,Male,Premium,9,4,Sci-Fi,23,740,No
1211,30,Male,Premium,14,5,Romance,24,770,No
1212,52,Male,Basic,2,4,Action,32,348,Yes
1213,55,Female,Basic,16,4,Comedy,7,335,No
1214,39,Male,Basic,19,2,Romance,8,396,No
1215,53,Female,VIP,13,5,Sci-Fi,38,1345,Yes
1216,31,Female,Premium,2,3,Comedy,34,614,No
1217,21,Female,VIP,23,1,Comedy,41,1359,Yes
1218,22,Male,Basic,18,2,Horror,13,483,Yes
1219,39,Female,Premium,9,2,Romance,50,767,No
1220,61,Male,Basic,13,3,Drama,13,285,Yes
1221,24,Male,Basic,3,2,Drama,33,222,No
1222,39,Male,Basic,7,3,Horror,8,327,Yes
1223,51,Male,Basic,11,3,Comedy,46,448,No
1224,27,Male,VIP,25,2,Comedy,16,1413,Yes
1225,52,Male,Basic,10,4,Horror,40,427,No
1226,32,Male,Premium,20,2,Comedy,16,820,Yes
1227,56,Male,Premium,11,4,Horror,40,782,No
1228,45,Female,Basic,17,2,Drama,23,304,Yes
1229,44,Male,Premium,14,5,Romance,3,825,Yes
1230,26,Female,Basic,22,2,Action,9,389,Yes
1231,40,Female,VIP,11,1,Romance,34,1406,No
1232,59,Female,Premium,2,1,Comedy,9,660,No
1233,18,Female,Premium,4,5,Action,14,730,Yes
1234,54,Female,Premium,11,5,Horror,27,775,Yes
1235,41,Female,Basic,5,2,Sci-Fi,12,315,No
1236,52,Female,VIP,18,4,Romance,6,1413,Yes
1237,49,Female,Basic,11,3,Action,31,338,Yes
1238,38,Male,Basic,34,1,Action,35,430,No
1239,32,Male,Basic,1,3,Sci-Fi,37,400,No
1240,48,Female,Premium,17,4,Romance,48,847,No
1241,24,Male,Premium,6,5,Drama,6,683,Yes
1242,46,Female,Premium,11,5,Horror,21,788,No
1243,22,Male,Premium,16,1,Romance,11,734,Yes
1244,49,Male,Basic,1,2,Romance,45,233,No
1245,48,Female,VIP,17,3,Sci-Fi,27,1446,Yes
1246,22,Female,Basic,30,1,Horror,5,347,No
1247,54,Female,Premium,11,3,Sci-Fi,35,810,No
1248,37,Male,Basic,17,1,Horror,2,369,No
1249,55,Female,VIP,23,1,Sci-Fi,13,1401,Yes
1250,19,Female,Basic,14,1,Sci-Fi,36,394,Yes
1251,26,Female,Basic,10,2,Drama,25,384,No
1252,41,Female,Premium,1,4,Sci-Fi,38,654,No
1253,27,Female,Basic,20,1,Horror,29,442,No
1254,33,Female,Basic,14,5,Romance,42,376,No
1255,49,Male,Premium,7,2,Sci-Fi,28,659,No
1256,24,Female,Basic,16,1,Action,2,369,Yes
1257,50,Female,VIP,10,2,Sci-Fi,3,1432,Yes
1258,22,Female,Basic,11,4,Comedy,39,455,Yes
1259,26,Female,Premium,20,1,Action,1,842,No
1260,46,Female,Premium,4,1,Action,19,648,Yes
1261,56,Male,Premium,23,5,Sci-Fi,0,843,Yes
1262,26,Female,Premium,4,3,Romance,15,770,No
1263,32,Male,Premium,10,2,Sci-Fi,30,793,No
1264,62,Male,VIP,30,4,Drama,8,1496,Yes
1265,65,Female,Basic,24,5,Action,23,441,Yes
1266,45,Female,Basic,16,2,Horror,50,375,No
1267,39,Male,Premium,7,3,Action,3,697,Yes
1268,34,Male,Premium,11,1,Romance,3,640,Yes
1269,47,Male,Basic,16,2,Horror,13,399,No
1270,46,Male,Basic,15,3,Romance,42,385,Yes
1271,32,Male,VIP,14,1,Comedy,20,1402,No
1272,19,Male,Premium,15,5,Action,32,694,Yes
1273,25,Female,VIP,13,5,Comedy,1,1403,Yes
1274,64,Female,Premium,3,2,Horror,37,837,Yes
1275,38,Female,Premium,11,2,Comedy,3,759,Yes
1276,41,Male,Basic,22,1,Romance,36,405,Yes
1277,40,Male,VIP,4,3,Action,7,1338,Yes
1278,55,Male,Basic,13,1,Action,43,486,No
1279,21,Female,Premium,8,2,Comedy,15,678,No
1280,21,Male,Basic,16,3,Horror,9,391,Yes
1281,31,Male,Premium,12,4,Sci-Fi,17,711,No
1282,41,Male,Premium,27,3,Drama,0,801,Yes
1283,50,Female,Premium,19,2,Sci-Fi,8,791,No
1284,41,Male,VIP,5,4,Sci-Fi,30,1405,Yes
1285,39,Male,Basic,20,4,Sci-Fi,15,507,Yes
1286,63,Female,Premium,9,4,Sci-Fi,18,771,Yes
1287,25,Female,Basic,10,3,Action,41,326,Yes
1288,45,Male,Basic,18,5,Comedy,6,539,Yes
1289,44,Male,Basic,11,2,Sci-Fi,20,328,No
1290,40,Female,Basic,22,5,Action,9,375,No
1291,56,Female,Basic,9,2,Drama,24,238,Yes
1292,30,Female,Premium,10,2,Action,16,833,No
1293,63,Male,Premium,10,3,Horror,2,807,Yes
1294,33,Male,Premium,10,3,Action,3,894,No
1295,44,Female,Basic,24,4,Action,43,336,No
1296,42,Male,Basic,20,2,Sci-Fi,2,486,Yes
1297,58,Male,Basic,29,5,Comedy,39,448,No
1298,39,Female,Premium,33,2,Drama,46,912,No
1299,31,Female,VIP,7,3,Comedy,23,1235,No
1300,19,Male,Basic,16,5,Comedy,15,467,No
1301,35,Female,Premium,6,3,Horror,39,776,No
1302,57,Male,Basic,9,4,Horror,50,342,No
1303,18,Female,Basic,10,5,Comedy,6,388,Yes
1304,61,Female,Basic,7,5,Horror,49,288,No
1305,44,Male,Basic,7,3,Horror,48,299,Yes
1306,24,Female,Premium,14,3,Sci-Fi,7,741,No
1307,32,Male,VIP,5,1,Sci-Fi,2,1213,Yes
1308,44,Female,Basic,22,3,Romance,36,461,Yes
1309,33,Male,Premium,8,5,Drama,3,810,Yes
1310,23,Male,Premium,37,3,Drama,30,842,No
1311,49,Female,VIP,11,2,Sci-Fi,3,1375,Yes
1312,50,Female,Premium,16,1,Romance,35,763,Yes
1313,23,Male,Basic,5,2,Horror,11,344,Yes
1314,31,Female,Premium,29,2,Action,4,806,Yes
1315,29,Female,Basic,24,5,Drama,3,366,No
1316,49,Male,VIP,17,3,Horror,9,1447,Yes
1317,53,Female,Basic,4,1,Comedy,27,315,No
1318,52,Female,Premium,17,1,Romance,3,905,Yes
1319,63,Male,Basic,6,5,Horror,40,332,No
1320,54,Male,Basic,27,5,Romance,30,378,Yes
1321,33,Female,VIP,21,4,Action,15,1478,Yes
1322,23,Male,Premium,16,1,Sci-Fi,50,817,No
1323,47,Female,Basic,1,1,Sci-Fi,33,348,No
1324,61,Female,VIP,7,1,Sci-Fi,34,1405,Yes
1325,64,Male,VIP,21,4,Romance,8,1365,No
1326,29,Male,Basic,25,4,Drama,36,416,No
1327,29,Female,Premium,24,5,Sci-Fi,28,809,Yes
1328,19,Male,Premium,2,1,Horror,50,632,No
1329,24,Male,Premium,17,1,Horror,24,768,No
1330,44,Female,Basic,23,5,Horror,34,494,Yes
1331,44,Female,Basic,2,5,Drama,17,323,No
1332,35,Female,VIP,15,4,Romance,2,1293,Yes
1333,32,Female,VIP,17,1,Action,6,1291,No
1334,57,Female,Premium,13,1,Drama,44,864,Yes
1335,40,Male,VIP,1,1,Sci-Fi,37,1299,Yes
1336,56,Female,Premium,12,4,Action,18,720,No
1337,64,Female,Premium,12,5,Drama,35,743,No
1338,33,Female,Premium,14,4,Sci-Fi,0,680,No
1339,27,Female,Premium,10,2,Sci-Fi,1,834,No
1340,63,Male,Premium,11,4,Action,25,730,Yes
1341,48,Female,Basic,15,1,Comedy,31,456,Yes
1342,31,Male,Premium,19,5,Comedy,47,797,Yes
1343,47,Female,Basic,13,5,Sci-Fi,38,450,No
1344,42,Male,Basic,12,4,Comedy,13,374,No
1345,61,Male,Premium,16,5,Sci-Fi,41,830,No
1346,30,Male,Basic,1,3,Horror,25,347,No
1347,65,Female,Basic,19,3,Horror,42,431,Yes
1348,62,Female,Premium,15,2,Comedy,8,795,Yes
1349,26,Male,VIP,15,5,Romance,1,1360,Yes
1350,25,Male,Basic,23,4,Action,2,529,Yes
1351,43,Male,Basic,1,1,Action,50,250,No
1352,20,Male,Basic,1,5,Action,4,304,No
1353,32,Female,Premium,17,1,Comedy,47,785,No
1354,38,Male,Premium,15,3,Romance,37,798,Yes
1355,64,Male,Basic,16,1,Comedy,7,353,No
1356,65,Male,Premium,11,4,Horror,44,773,No
1357,25,Male,Basic,20,3,Drama,7,389,No
1358,60,Female,Basic,22,3,Action,7,314,Yes
1359,22,Female,VIP,19,4,Drama,29,1395,No
1360,53,Male,Basic,13,4,Action,14,298,Yes
1361,58,Female,Basic,1,2,Drama,14,200,Yes
1362,60,Male,Basic,21,5,Sci-Fi,9,412,Yes
1363,28,Male,Premium,25,3,Sci-Fi,30,853,Yes
1364,60,Male,VIP,20,1,Comedy,1,1431,Yes
1365,23,Male,VIP,8,1,Horror,12,1373,No
1366,42,Male,Basic,20,2,Sci-Fi,28,283,Yes
1367,40,Female,Basic,22,4,Comedy,24,327,Yes
1368,33,Female,Premium,27,3,Drama,35,952,Yes
1369,19,Female,Basic,8,2,Action,11,276,No
1370,55,Male,VIP,13,3,Romance,33,1401,No
1371,34,Male,Premium,21,5,Horror,38,763,No
1372,49,Male,Basic,15,3,Comedy,19,379,No
1373,37,Male,Premium,6,1,Horror,13,691,No
1374,35,Male,Basic,18,1,Horror,28,423,No
1375,60,Female,Basic,20,3,Sci-Fi,29,407,Yes
1376,22,Female,Premium,16,3,Action,4,752,Yes
1377,53,Female,Premium,17,5,Romance,28,721,No
1378,53,Female,Premium,13,3,Romance,7,780,Yes
1379,36,Female,Premium,27,4,Romance,29,761,No
1380,30,Female,VIP,8,3,Romance,47,1365,No
1381,18,Male,VIP,10,2,Romance,27,1499,No
1382,62,Female,Premium,15,4,Horror,38,855,Yes
1383,63,Female,Basic,22,4,Action,15,452,No
1384,29,Female,Premium,3,4,Drama,47,709,No
1385,19,Female,VIP,5,1,Comedy,41,1208,Yes
1386,23,Male,Basic,1,4,Comedy,46,225,No
1387,21,Female,Premium,15,2,Horror,37,851,Yes
1388,57,Male,Basic,6,4,Horror,33,282,Yes
1389,60,Female,Basic,12,4,Sci-Fi,26,317,No
1390,25,Female,Premium,20,4,Horror,47,789,No
1391,53,Female,Basic,10,5,Action,43,285,No
1392,26,Male,Premium,17,3,Comedy,21,710,Yes
1393,35,Female,Premium,13,1,Romance,4,761,No
1394,46,Female,Premium,20,4,Drama,0,746,Yes
1395,52,Male,Basic,19,4,Sci-Fi,11,350,No
1396,59,Male,Basic,9,1,Drama,3,297,Yes
1397,20,Female,Premium,14,1,Comedy,10,800,Yes
1398,27,Female,Premium,23,2,Horror,5,800,No
1399,31,Female,Premium,18,5,Horror,50,778,Yes
1400,32,Female,VIP,4,3,Horror,4,1355,No
1401,65,Male,Basic,20,5,Drama,31,390,Yes
1402,55,Female,VIP,6,5,Sci-Fi,17,1312,No
1403,33,Male,Basic,26,3,Romance,8,457,No
1404,64,Female,Basic,23,4,Sci-Fi,35,454,No
1405,41,Male,Premium,17,2,Drama,49,775,Yes
1406,42,Female,Basic,16,1,Comedy,40,384,No
1407,38,Male,Basic,13,2,Sci-Fi,49,317,No
1408,24,Female,Basic,20,3,Drama,30,347,Yes
1409,62,Male,Basic,12,1,Sci-Fi,34,405,Yes
1410,18,Male,Premium,17,2,Action,7,811,No
1411,26,Female,Basic,22,1,Comedy,43,436,Yes
1412,29,Male,Premium,11,4,Horror,38,771,No
1413,31,Female,Premium,10,5,Drama,12,752,No
1414,24,Female,Basic,5,5,Drama,18,366,Yes
1415,18,Female,Basic,6,2,Sci-Fi,31,385,No
1416,50,Male,VIP,1,3,Drama,0,1359,No
1417,64,Male,Premium,21,5,Horror,41,798,Yes
1418,23,Male,Premium,29,3,Comedy,14,927,No
1419,32,Female,Premium,26,2,Horror,3,843,Yes
1420,42,Female,Basic,2,2,Comedy,16,347,No
1421,62,Female,Basic,21,4,Drama,42,421,No
1422,51,Female,Premium,26,3,Sci-Fi,13,844,Yes
1423,54,Male,Basic,11,5,Romance,27,310,No
1424,45,Male,Premium,16,5,Comedy,41,821,Yes
1425,38,Male,Premium,1,1,Sci-Fi,1,875,No
1426,27,Male,Premium,17,4,Action,38,762,Yes
1427,59,Male,Premium,6,2,Action,14,733,No
1428,56,Male,Basic,17,3,Horror,35,357,No
1429,19,Male,Basic,3,2,Horror,9,285,No
1430,52,Male,Basic,19,2,Drama,7,487,No
1431,22,Female,Premium,23,2,Sci-Fi,40,774,No
1432,53,Female,Basic,9,1,Drama,41,316,No
1433,57,Female,Basic,6,4,Comedy,50,234,No
1434,24,Male,Basic,1,1,Drama,34,259,No
1435,38,Male,Basic,13,2,Comedy,23,261,No
1436,23,Male,Premium,10,1,Horror,9,787,No
1437,45,Male,Basic,3,1,Drama,15,482,No
1438,62,Female,VIP,19,2,Comedy,33,1372,Yes
1439,21,Female,Basic,11,5,Sci-Fi,17,254,No
1440,37,Male,Premium,6,5,Horror,24,783,Yes
1441,64,Male,Basic,11,2,Comedy,8,310,Yes
1442,32,Male,Basic,24,3,Romance,22,497,No
1443,24,Male,VIP,20,5,Drama,12,1382,Yes
1444,41,Female,VIP,14,2,Sci-Fi,5,1331,Yes
1445,42,Female,VIP,20,5,Romance,6,1388,Yes
1446,49,Female,Basic,6,1,Drama,26,374,No
1447,33,Female,Basic,15,2,Comedy,18,360,No
1448,63,Female,Premium,16,2,Horror,5,749,No
1449,43,Female,Basic,11,1,Action,26,342,No
1450,31,Female,Premium,18,5,Drama,8,713,No
1451,64,Female,Premium,9,5,Romance,0,768,No
1452,62,Male,Premium,19,2,Drama,6,687,Yes
1453,41,Female,Premium,19,5,Horror,22,767,No
1454,19,Female,Premium,1,4,Sci-Fi,48,750,No
1455,46,Female,Basic,25,5,Comedy,12,442,Yes
1456,44,Female,Basic,1,5,Comedy,14,339,No
1457,25,Female,Premium,10,3,Sci-Fi,12,745,No
1458,48,Female,Premium,23,1,Action,18,884,Yes
1459,58,Male,Basic,12,5,Drama,36,414,No
1460,23,Female,Basic,3,4,Drama,16,341,No
1461,52,Female,Premium,6,5,Romance,33,785,No
1462,24,Female,Premium,23,5,Action,45,859,Yes
1463,53,Male,Premium,1,1,Romance,48,678,Yes
1464,38,Female,Basic,24,3,Drama,28,338,No
1465,18,Male,Basic,15,1,Sci-Fi,36,399,No
1466,64,Male,Premium,5,1,Sci-Fi,46,757,No
1467,25,Female,Basic,10,5,Comedy,40,414,Yes
1468,46,Female,Premium,7,5,Romance,15,678,No
1469,26,Female,Premium,22,5,Comedy,6,755,No
1470,62,Male,Basic,21,5,Action,5,432,No
1471,53,Female,Basic,1,4,Horror,44,300,No
1472,56,Female,Basic,12,3,Sci-Fi,28,246,No
1473,38,Female,VIP,8,5,Romance,15,1362,No
1474,40,Female,Premium,25,3,Drama,17,713,Yes
1475,48,Male,Basic,4,4,Action,14,262,Yes
1476,55,Female,VIP,28,2,Action,40,1499,Yes
1477,58,Male,Premium,15,4,Drama,31,883,Yes
1478,18,Female,Premium,6,5,Comedy,44,656,No
1479,49,Male,VIP,10,4,Romance,15,1329,Yes
1480,23,Male,Basic,9,3,Action,24,347,Yes
1481,31,Female,Basic,5,1,Romance,6,431,No
1482,57,Female,Premium,16,1,Comedy,49,749,Yes
1483,30,Female,Basic,5,4,Action,26,295,No
1484,56,Female,Premium,1,4,Comedy,28,797,No
1485,40,Female,Basic,12,4,Action,21,337,Yes
1486,29,Male,Basic,1,5,Drama,13,347,No
1487,34,Male,Basic,9,3,Comedy,48,255,No
1488,43,Male,Basic,8,5,Sci-Fi,24,329,Yes
1489,54,Male,Basic,8,4,Sci-Fi,34,239,No
1490,47,Male,Basic,31,2,Action,1,391,Yes
1491,62,Female,VIP,15,5,Action,14,1424,Yes
1492,59,Female,Basic,17,1,Action,41,381,No
1493,54,Female,Basic,1,3,Comedy,4,285,No
1494,46,Male,Basic,10,5,Action,5,304,Yes
1495,31,Female,Basic,17,4,Comedy,41,371,Yes
1496,37,Female,Basic,7,5,Sci-Fi,15,352,No
1497,23,Female,Premium,22,1,Comedy,13,868,No
1498,35,Male,Basic,5,3,Comedy,28,199,No
